epoch,loss,accuracy,val_loss,val_accuracy
1,0.1412,0.6295,0.0813,0.8378
2,0.0500,0.8076,0.0385,0.8444
3,0.0382,0.8419,0.0258,0.8822
4,0.0350,0.8410,0.0195,0.8933
5,0.0324,0.8524,0.0135,0.9356
6,0.0302,0.8600,0.0121,0.9400
7,0.0279,0.8657,0.0112,0.9444
8,0.0257,0.8690,0.0104,0.9467
9,0.0255,0.8686,0.0105,0.9556
10,0.0268,0.8638,0.0107,0.9489
11,0.0245,0.8738,0.0102,0.9489
12,0.0245,0.8733,0.0109,0.9489
13,0.0240,0.8581,0.0102,0.9511
14,0.0220,0.8838,0.0100,0.9489
15,0.0214,0.8786,0.0099,0.9467
16,0.0210,0.8848,0.0098,0.9600
17,0.0192,0.8990,0.0097,0.9556
18,0.0218,0.8852,0.0105,0.9533
19,0.0209,0.8890,0.0101,0.9444
20,0.0196,0.8952,0.0100,0.9511
21,0.0199,0.8924,0.0100,0.9556
22,0.0192,0.8995,0.0096,0.9556
23,0.0196,0.8952,0.0096,0.9600
24,0.0183,0.8962,0.0095,0.9511
25,0.0188,0.8986,0.0095,0.9600
26,0.0190,0.9114,0.0097,0.9533
27,0.0179,0.9029,0.0097,0.9600
28,0.0170,0.9133,0.0097,0.9556
29,0.0157,0.9133,0.0097,0.9533
30,0.0169,0.9000,0.0096,0.9533
31,0.0162,0.9119,0.0095,0.9511
32,0.0158,0.9152,0.0095,0.9533
33,0.0155,0.9157,0.0094,0.9533
34,0.0160,0.9133,0.0094,0.9511
35,0.0162,0.9124,0.0094,0.9511
36,0.0151,0.9214,0.0095,0.9511
37,0.0157,0.9138,0.0095,0.9533
38,0.0166,0.9076,0.0095,0.9511
39,0.0158,0.9110,0.0095,0.9444
40,0.0149,0.9171,0.0096,0.9467
41,0.0153,0.9262,0.0096,0.9444
42,0.0153,0.9238,0.0096,0.9422
43,0.0156,0.9124,0.0096,0.9511
44,0.0157,0.9138,0.0095,0.9422
45,0.0155,0.9110,0.0095,0.9467
46,0.0152,0.9133,0.0095,0.9489
47,0.0140,0.9195,0.0095,0.9489
48,0.0146,0.9186,0.0095,0.9489
49,0.0153,0.9167,0.0096,0.9511
50,0.0148,0.9138,0.0095,0.9511
